"Date from:;=""01.01.2026""",
"Date to:;=""31.01.2026""",
"Category:;=""All""",
"Currency:;=""CHF""",
,
,
Date;Type of transaction;Notification text;Credit in CHF;Debit in CHF;Tag;Category,
,
"31.01.2026;Entry;""Acquisto/servizio del 31.01.2026"," BENNET LAVENA PONTE TR"";;-178.65;;Shopping // Supermarkets"
"31.01.2026;Entry;""Acquisto/servizio del 31.01.2026"," MIZUMI SAS DI HU DONG."";;-49.9;;Leisure // Food services"
"31.01.2026;Entry;""Prezzo per pacchetto bancario Smart"";;-5;;Finances // Fees",
"30.01.2026;Entry;""Acquisto/servizio del 30.01.2026"," Coop-1383 Pregassona"";;-25.45;;Shopping // Supermarkets"
"30.01.2026;Entry;""Acquisto/shopping online del 30.01.2026"," Google Legend of Mush"";;-0.9;;Residing // Communication"
"30.01.2026;Entry;""Acquisto/servizio del 30.01.2026"," STRAPANINO SAGL"";;-21;;Leisure // Food services"
"30.01.2026;Entry;""Addebito a AMAG Leasing AG"";;-416.45;;Mobility // Private transport",
"30.01.2026;Entry;""Addebito a Besenzoni Sofia"";;-250;;Expenditures other",
"30.01.2026;Entry;""Addebito a Tanya Velichkova"";;-200;;Expenditures other",
"29.01.2026;Entry;""Acquisto/servizio del 29.01.2026"," Clinica Ars Medica"";;-2;;Living // Healthcare"
"29.01.2026;Entry;""Addebito a Nadia Bosoni"";;-2550;;Expenditures other",
"28.01.2026;Entry;""Acquisto/servizio del 28.01.2026"," Coop-1383 Pregassona"";;-30.65;;Shopping // Supermarkets"
"28.01.2026;Entry;""Acquisto/shopping online del 28.01.2026"," FAL FEATURES LABELS"";;-40.47;;Residing // Communication"
"28.01.2026;Entry;""Acquisto/shopping online del 28.01.2026"," Google Legend of Mush"";;-8.8;;Residing // Communication"
"28.01.2026;Entry;""Acquisto/shopping online del 28.01.2026"," Google Legend of Mush"";;-8.8;;Residing // Communication"
"28.01.2026;Entry;""Acquisto/servizio del 28.01.2026"," Coop-1383 Pregassona"";;-0.05;;Shopping // Supermarkets"
"28.01.2026;Entry;""Acquisto/servizio del 28.01.2026"," Coop-1383 Pregassona"";;-19.65;;Shopping // Supermarkets"
